,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000
,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上,総数,0～14歳,15～64,65歳以上
日本,"103,720 ","24,823 ","71,566 ","7,331 ","105,014 ","25,169 ","72,321 ","7,524 ","107,332 ","25,970 ","73,483 ","7,879 ","108,710 ","26,447 ","74,104 ","8,160 ","110,049 ","26,850 ","74,742 ","8,457 ","111,940 ","27,232 ","75,839 ","8,869 ","113,089 ","27,492 ","76,395 ","9,201 ","114,154 ","27,649 ","76,944 ","9,561 ","115,174 ","27,708 ","77,545 ","9,921 ","116,133 ","27,664 ","78,161 ","10,309 ","117,060 ","27,524 ","78,884 ","10,653 ","117,884 ","27,603 ","79,272 ","11,009 ","118,693 ","27,254 ","80,089 ","11,350 ","119,483 ","26,907 ","80,904 ","11,672 ","120,235 ","26,504 ","81,776 ","11,956 ","121,049 ","26,042 ","82,535 ","12,472 ","121,672 ","25,434 ","83,368 ","12,870 ","122,264 ","24,753 ","84,189 ","13,322 ","122,783 ","23,985 ","85,013 ","13,785 ","123,255 ","23,201 ","85,745 ","14,309 ","123,611 ","22,544 ","86,140 ","14,928 ","124,043 ","21,904 ","86,557 ","15,582 ","124,452 ","21,364 ","86,845 ","16,242 ","124,764 ","20,841 ","87,023 ","16,900 ","125,034 ","20,415 ","87,034 ","17,585 ","125,570 ","20,033 ","87,260 ","18,277 ","125,864 ","19,686 ","87,161 ","19,017 ","126,166 ","19,366 ","87,042 ","19,758 ","126,486 ","19,059 ","86,920 ","20,508 ","126,686 ","18,742 ","86,758 ","21,186 ","126,926 ","18,505 ","86,380 ","22,041 "
北 海 道,"5,184 ","1,309 ","3,576 ",299 ,"5,188 ","1,302 ","3,577 ",309 ,"5,205 ","1,302 ","3,580 ",323 ,"5,232 ","1,308 ","3,588 ",336 ,"5,279 ","1,316 ","3,611 ",352 ,"5,338 ","1,313 ","3,659 ",367 ,"5,394 ","1,309 ","3,699 ",386 ,"5,442 ","1,302 ","3,734 ",406 ,"5,488 ","1,293 ","3,769 ",425 ,"5,532 ","1,283 ","3,803 ",446 ,"5,576 ","1,299 ","3,825 ",452 ,"5,607 ","1,300 ","3,836 ",471 ,"5,633 ","1,281 ","3,864 ",488 ,"5,660 ","1,266 ","3,887 ",506 ,"5,677 ","1,247 ","3,907 ",523 ,"5,679 ","1,218 ","3,912 ",550 ,"5,678 ","1,187 ","3,921 ",570 ,"5,671 ","1,150 ","3,926 ",594 ,"5,671 ","1,112 ","3,941 ",617 ,"5,670 ","1,074 ","3,954 ",643 ,"5,644 ","1,036 ","3,932 ",676 ,"5,649 ","1,000 ","3,941 ",707 ,"5,659 ",971 ,"3,948 ",740 ,"5,666 ",940 ,"3,951 ",774 ,"5,677 ",915 ,"3,952 ",809 ,"5,692 ",900 ,"3,947 ",846 ,"5,699 ",876 ,"3,939 ",884 ,"5,702 ",854 ,"3,927 ",920 ,"5,700 ",831 ,"3,911 ",958 ,"5,695 ",808 ,"3,892 ",994 ,"5,683 ",796 ,"3,851 ","1,036 "
青 森 県,"1,428 ",397 ,940 ,90 ,"1,428 ",396 ,939 ,93 ,"1,432 ",396 ,939 ,97 ,"1,437 ",397 ,941 ,99 ,"1,444 ",397 ,945 ,103 ,"1,469 ",380 ,978 ,111 ,"1,483 ",374 ,992 ,116 ,"1,494 ",369 ,"1,004 ",121 ,"1,505 ",364 ,"1,014 ",127 ,"1,514 ",358 ,"1,024 ",132 ,"1,524 ",366 ,"1,023 ",135 ,"1,527 ",369 ,"1,019 ",139 ,"1,529 ",365 ,"1,020 ",144 ,"1,531 ",362 ,"1,022 ",147 ,"1,530 ",358 ,"1,022 ",150 ,"1,524 ",339 ,"1,027 ",159 ,"1,520 ",330 ,"1,026 ",164 ,"1,516 ",321 ,"1,026 ",169 ,"1,509 ",310 ,"1,026 ",173 ,"1,502 ",300 ,"1,023 ",179 ,"1,483 ",289 ,"1,002 ",192 ,"1,477 ",278 ,999 ,200 ,"1,472 ",268 ,995 ,208 ,"1,470 ",260 ,993 ,217 ,"1,471 ",253 ,992 ,226 ,"1,482 ",253 ,992 ,237 ,"1,483 ",245 ,991 ,247 ,"1,480 ",240 ,985 ,256 ,"1,478 ",234 ,979 ,266 ,"1,475 ",227 ,974 ,274 ,"1,476 ",223 ,965 ,287 
岩 手 県,"1,371 ",362 ,909 ,100 ,"1,364 ",356 ,905 ,103 ,"1,361 ",353 ,902 ,106 ,"1,361 ",350 ,901 ,110 ,"1,364 ",349 ,902 ,114 ,"1,386 ",338 ,929 ,118 ,"1,394 ",332 ,939 ,124 ,"1,399 ",325 ,946 ,128 ,"1,405 ",320 ,952 ,134 ,"1,411 ",314 ,958 ,138 ,"1,422 ",326 ,952 ,143 ,"1,426 ",326 ,951 ,149 ,"1,428 ",322 ,952 ,154 ,"1,430 ",318 ,954 ,159 ,"1,431 ",313 ,955 ,162 ,"1,434 ",308 ,955 ,170 ,"1,431 ",302 ,953 ,176 ,"1,426 ",294 ,951 ,181 ,"1,423 ",286 ,949 ,188 ,"1,419 ",276 ,946 ,196 ,"1,417 ",270 ,941 ,206 ,"1,415 ",260 ,940 ,215 ,"1,414 ",251 ,938 ,225 ,"1,415 ",243 ,938 ,234 ,"1,416 ",237 ,934 ,244 ,"1,420 ",239 ,925 ,255 ,"1,420 ",232 ,923 ,265 ,"1,418 ",224 ,919 ,275 ,"1,416 ",217 ,915 ,285 ,"1,414 ",210 ,911 ,293 ,"1,416 ",213 ,900 ,304 
宮 城 県,"1,819 ",449 ,"1,245 ",126 ,"1,837 ",449 ,"1,260 ",129 ,"1,856 ",451 ,"1,273 ",133 ,"1,883 ",456 ,"1,289 ",138 ,"1,913 ",462 ,"1,308 ",144 ,"1,955 ",461 ,"1,344 ",150 ,"1,982 ",464 ,"1,363 ",156 ,"2,006 ",467 ,"1,378 ",161 ,"2,028 ",469 ,"1,392 ",167 ,"2,054 ",472 ,"1,408 ",173 ,"2,082 ",481 ,"1,421 ",181 ,"2,103 ",487 ,"1,429 ",187 ,"2,125 ",487 ,"1,444 ",194 ,"2,144 ",487 ,"1,457 ",200 ,"2,160 ",486 ,"1,468 ",206 ,"2,176 ",481 ,"1,480 ",216 ,"2,190 ",476 ,"1,490 ",224 ,"2,206 ",470 ,"1,504 ",233 ,"2,221 ",460 ,"1,518 ",243 ,"2,236 ",451 ,"1,532 ",253 ,"2,249 ",441 ,"1,540 ",268 ,"2,264 ",430 ,"1,552 ",281 ,"2,277 ",420 ,"1,561 ",296 ,"2,290 ",410 ,"1,571 ",309 ,"2,301 ",400 ,"1,577 ",324 ,"2,329 ",395 ,"1,596 ",338 ,"2,338 ",385 ,"1,601 ",352 ,"2,348 ",376 ,"1,605 ",367 ,"2,355 ",367 ,"1,607 ",381 ,"2,360 ",359 ,"1,608 ",394 ,"2,365 ",354 ,"1,602 ",409 
秋 田 県,"1,241 ",303 ,848 ,91 ,"1,232 ",296 ,843 ,93 ,"1,228 ",290 ,841 ,97 ,"1,223 ",286 ,837 ,100 ,"1,222 ",282 ,836 ,104 ,"1,232 ",274 ,849 ,109 ,"1,238 ",268 ,857 ,114 ,"1,243 ",263 ,861 ,119 ,"1,247 ",259 ,865 ,124 ,"1,251 ",255 ,867 ,128 ,"1,257 ",263 ,861 ,132 ,"1,258 ",264 ,856 ,138 ,"1,257 ",261 ,854 ,142 ,"1,255 ",258 ,850 ,146 ,"1,253 ",255 ,847 ,151 ,"1,254 ",250 ,846 ,158 ,"1,249 ",246 ,840 ,163 ,"1,245 ",240 ,835 ,169 ,"1,239 ",234 ,831 ,175 ,"1,234 ",226 ,826 ,182 ,"1,227 ",220 ,816 ,192 ,"1,223 ",212 ,810 ,200 ,"1,219 ",206 ,804 ,210 ,"1,216 ",199 ,798 ,219 ,"1,215 ",194 ,794 ,228 ,"1,214 ",189 ,787 ,238 ,"1,210 ",183 ,780 ,247 ,"1,206 ",178 ,772 ,256 ,"1,201 ",173 ,764 ,264 ,"1,196 ",167 ,758 ,271 ,"1,189 ",163 ,746 ,280 
山 形 県,"1,226 ",288 ,833 ,105 ,"1,218 ",281 ,830 ,107 ,"1,214 ",276 ,826 ,111 ,"1,212 ",272 ,825 ,115 ,"1,213 ",269 ,824 ,119 ,"1,220 ",266 ,831 ,123 ,"1,226 ",265 ,833 ,128 ,"1,231 ",264 ,835 ,132 ,"1,236 ",263 ,836 ,137 ,"1,241 ",262 ,837 ,142 ,"1,252 ",263 ,843 ,147 ,"1,255 ",265 ,839 ,151 ,"1,255 ",262 ,838 ,155 ,"1,256 ",261 ,836 ,159 ,"1,257 ",259 ,835 ,163 ,"1,262 ",256 ,836 ,170 ,"1,262 ",253 ,833 ,175 ,"1,262 ",249 ,832 ,182 ,"1,262 ",244 ,830 ,188 ,"1,260 ",239 ,826 ,196 ,"1,258 ",234 ,820 ,205 ,"1,257 ",228 ,815 ,214 ,"1,255 ",223 ,810 ,223 ,"1,253 ",217 ,805 ,231 ,"1,253 ",212 ,801 ,240 ,"1,257 ",209 ,799 ,249 ,"1,256 ",204 ,794 ,258 ,"1,255 ",199 ,790 ,265 ,"1,253 ",195 ,786 ,273 ,"1,250 ",190 ,781 ,279 ,"1,244 ",186 ,772 ,286 
福 島 県,"1,946 ",508 ,"1,283 ",155 ,"1,941 ",501 ,"1,283 ",157 ,"1,941 ",497 ,"1,282 ",162 ,"1,945 ",495 ,"1,282 ",168 ,"1,955 ",494 ,"1,287 ",173 ,"1,971 ",474 ,"1,316 ",180 ,"1,982 ",465 ,"1,331 ",187 ,"1,995 ",459 ,"1,343 ",193 ,"2,006 ",454 ,"1,353 ",200 ,"2,015 ",450 ,"1,359 ",207 ,"2,035 ",467 ,"1,356 ",213 ,"2,043 ",472 ,"1,351 ",220 ,"2,051 ",471 ,"1,353 ",226 ,"2,059 ",472 ,"1,355 ",232 ,"2,068 ",472 ,"1,358 ",238 ,"2,080 ",461 ,"1,372 ",248 ,"2,085 ",456 ,"1,373 ",256 ,"2,091 ",449 ,"1,377 ",265 ,"2,095 ",440 ,"1,382 ",273 ,"2,099 ",430 ,"1,387 ",283 ,"2,104 ",423 ,"1,380 ",302 ,"2,108 ",410 ,"1,382 ",316 ,"2,115 ",400 ,"1,384 ",331 ,"2,122 ",390 ,"1,387 ",344 ,"2,126 ",381 ,"1,387 ",358 ,"2,134 ",382 ,"1,380 ",372 ,"2,136 ",374 ,"1,377 ",385 ,"2,137 ",365 ,"1,373 ",398 ,"2,137 ",357 ,"1,369 ",410 ,"2,135 ",348 ,"1,366 ",421 ,"2,127 ",341 ,"1,354 ",432 
